sift false_datas: 1748
sift false_datas 0527: 751
epoch_num:266
================= QA_dirt =================
skip false data: 0
load imgs:(5518, 3, 224, 224), (5518,)
True:4212, False:1306
Loading model from /data/workspace/git_research/lsnet/checkpoints/lsnet_t/2025_11_11_01_02_26/checkpoint_0.pth
Creating model: lsnet_t
<All keys matched successfully>

th: 0.38 QA_dirt T_R:89.934 M_R:52.815 F_R:15.697
th: 0.39 QA_dirt T_R:88.224 M_R:52.688 F_R:17.152
th: 0.40 QA_dirt T_R:85.992 M_R:52.529 F_R:19.066
th: 0.41 QA_dirt T_R:84.188 M_R:52.929 F_R:21.669
th: 0.42 QA_dirt T_R:81.671 M_R:53.355 F_R:25.038
th: 0.43 QA_dirt T_R:78.775 M_R:53.438 F_R:28.101
th: 0.44 QA_dirt T_R:75.855 M_R:53.356 F_R:30.858
th: 0.45 QA_dirt T_R:72.056 M_R:53.448 F_R:34.839
th: 0.46 QA_dirt T_R:67.806 M_R:52.892 F_R:37.979
th: 0.47 QA_dirt T_R:63.082 M_R:52.215 F_R:41.348
th: 0.48 QA_dirt T_R:58.618 M_R:51.323 F_R:44.028
th: 0.49 QA_dirt T_R:53.941 M_R:50.401 F_R:46.861
th: 0.50 QA_dirt T_R:49.311 M_R:50.153 F_R:50.995
th: 0.51 QA_dirt T_R:44.255 M_R:49.271 F_R:54.288
th: 0.52 QA_dirt T_R:39.126 M_R:48.660 F_R:58.193
th: 0.53 QA_dirt T_R:34.307 M_R:47.245 F_R:60.184
th: 0.54 QA_dirt T_R:30.176 M_R:46.520 F_R:62.864
th: 0.55 QA_dirt T_R:26.567 M_R:46.400 F_R:66.233
th: 0.56 QA_dirt T_R:22.697 M_R:46.188 F_R:69.678
th: 0.57 QA_dirt T_R:19.468 M_R:46.028 F_R:72.588
th: 0.58 QA_dirt T_R:16.904 M_R:46.392 F_R:75.881
th: 0.59 QA_dirt T_R:14.577 M_R:46.339 F_R:78.101
th: 0.60 QA_dirt T_R:12.441 M_R:46.649 F_R:80.858
th: 0.61 QA_dirt T_R:10.589 M_R:47.063 F_R:83.538
th: 0.62 QA_dirt T_R:8.642 M_R:47.200 F_R:85.758
th: 0.63 QA_dirt T_R:7.146 M_R:47.026 F_R:86.907
th: 0.64 QA_dirt T_R:5.745 M_R:47.398 F_R:89.051
th: 0.65 QA_dirt T_R:4.653 M_R:47.694 F_R:90.735
th: 0.66 QA_dirt T_R:4.060 M_R:48.125 F_R:92.190
th: 0.67 QA_dirt T_R:3.229 M_R:48.169 F_R:93.109
th: 0.68 QA_dirt T_R:2.659 M_R:48.305 F_R:93.951
th: 0.69 QA_dirt T_R:2.018 M_R:48.367 F_R:94.717
th: 0.70 QA_dirt T_R:1.543 M_R:48.743 F_R:95.942
th: 0.71 QA_dirt T_R:1.258 M_R:48.830 F_R:96.401
th: 0.72 QA_dirt T_R:0.950 M_R:48.905 F_R:96.861
th: 0.73 QA_dirt T_R:0.689 M_R:48.928 F_R:97.167
th: 0.74 QA_dirt T_R:0.499 M_R:49.216 F_R:97.933
th: 0.75 QA_dirt T_R:0.451 M_R:49.422 F_R:98.392
th: 0.76 QA_dirt T_R:0.427 M_R:49.563 F_R:98.698
th: 0.77 QA_dirt T_R:0.309 M_R:49.580 F_R:98.851
th: 0.78 QA_dirt T_R:0.261 M_R:49.748 F_R:99.234
th: 0.79 QA_dirt T_R:0.166 M_R:49.777 F_R:99.387

Loading model from /data/workspace/git_research/lsnet/checkpoints/lsnet_t/2025_11_11_01_08_01/checkpoint_0.pth
Creating model: lsnet_t
<All keys matched successfully>

th: 0.30 QA_dirt T_R:97.626 M_R:50.153 F_R:2.680
th: 0.31 QA_dirt T_R:96.914 M_R:50.065 F_R:3.216
th: 0.32 QA_dirt T_R:95.869 M_R:49.849 F_R:3.828
th: 0.33 QA_dirt T_R:94.682 M_R:50.021 F_R:5.360
th: 0.34 QA_dirt T_R:93.234 M_R:50.254 F_R:7.274
th: 0.35 QA_dirt T_R:91.311 M_R:50.096 F_R:8.882
th: 0.36 QA_dirt T_R:89.577 M_R:50.187 F_R:10.796
th: 0.37 QA_dirt T_R:87.061 M_R:49.962 F_R:12.864
th: 0.38 QA_dirt T_R:84.425 M_R:50.444 F_R:16.462
th: 0.39 QA_dirt T_R:81.766 M_R:50.837 F_R:19.908
th: 0.40 QA_dirt T_R:78.276 M_R:50.968 F_R:23.660
th: 0.41 QA_dirt T_R:74.169 M_R:50.714 F_R:27.259
th: 0.42 QA_dirt T_R:69.824 M_R:50.303 F_R:30.781
th: 0.43 QA_dirt T_R:65.527 M_R:50.298 F_R:35.069
th: 0.44 QA_dirt T_R:61.182 M_R:50.040 F_R:38.897
th: 0.45 QA_dirt T_R:57.479 M_R:50.523 F_R:43.568
th: 0.46 QA_dirt T_R:52.896 M_R:50.644 F_R:48.392
th: 0.47 QA_dirt T_R:47.745 M_R:50.365 F_R:52.986
th: 0.48 QA_dirt T_R:43.281 M_R:50.392 F_R:57.504
th: 0.49 QA_dirt T_R:38.913 M_R:50.199 F_R:61.485
th: 0.50 QA_dirt T_R:34.449 M_R:50.226 F_R:66.003
th: 0.51 QA_dirt T_R:30.935 M_R:50.383 F_R:69.832
th: 0.52 QA_dirt T_R:26.971 M_R:50.813 F_R:74.655
th: 0.53 QA_dirt T_R:23.148 M_R:50.778 F_R:78.407
th: 0.54 QA_dirt T_R:20.038 M_R:50.486 F_R:80.934
th: 0.55 QA_dirt T_R:16.857 M_R:50.542 F_R:84.227
th: 0.56 QA_dirt T_R:14.221 M_R:50.487 F_R:86.753
th: 0.57 QA_dirt T_R:11.657 M_R:50.430 F_R:89.204
th: 0.58 QA_dirt T_R:9.164 M_R:50.065 F_R:90.965
th: 0.59 QA_dirt T_R:7.099 M_R:49.951 F_R:92.802
th: 0.60 QA_dirt T_R:5.698 M_R:50.131 F_R:94.564
th: 0.61 QA_dirt T_R:4.582 M_R:50.453 F_R:96.325
th: 0.62 QA_dirt T_R:3.727 M_R:50.562 F_R:97.397
th: 0.63 QA_dirt T_R:2.659 M_R:50.143 F_R:97.626
th: 0.64 QA_dirt T_R:2.184 M_R:50.135 F_R:98.086
th: 0.65 QA_dirt T_R:1.614 M_R:50.118 F_R:98.622
th: 0.66 QA_dirt T_R:1.282 M_R:50.182 F_R:99.081
th: 0.67 QA_dirt T_R:0.950 M_R:50.092 F_R:99.234
th: 0.68 QA_dirt T_R:0.570 M_R:50.132 F_R:99.694
th: 0.69 QA_dirt T_R:0.356 M_R:50.101 F_R:99.847
th: 0.70 QA_dirt T_R:0.190 M_R:50.018 F_R:99.847
th: 0.71 QA_dirt T_R:0.190 M_R:50.018 F_R:99.847
th: 0.72 QA_dirt T_R:0.142 M_R:49.995 F_R:99.847
th: 0.73 QA_dirt T_R:0.095 M_R:49.971 F_R:99.847
th: 0.74 QA_dirt T_R:0.071 M_R:49.959 F_R:99.847
th: 0.75 QA_dirt T_R:0.024 M_R:49.974 F_R:99.923
th: 0.76 QA_dirt T_R:0.024 M_R:49.974 F_R:99.923
th: 0.77 QA_dirt T_R:0.000 M_R:49.962 F_R:99.923
th: 0.78 QA_dirt T_R:0.000 M_R:49.962 F_R:99.923
th: 0.79 QA_dirt T_R:0.000 M_R:49.962 F_R:99.923

Loading model from /data/workspace/git_research/lsnet/checkpoints/lsnet_t/2025_11_11_01_08_01/checkpoint_1.pth
Creating model: lsnet_t
<All keys matched successfully>

th: 0.30 QA_dirt T_R:96.985 M_R:49.909 F_R:2.833
th: 0.31 QA_dirt T_R:96.154 M_R:50.029 F_R:3.905
th: 0.32 QA_dirt T_R:94.991 M_R:50.099 F_R:5.207
th: 0.33 QA_dirt T_R:93.732 M_R:50.312 F_R:6.891
th: 0.34 QA_dirt T_R:92.165 M_R:50.409 F_R:8.652
th: 0.35 QA_dirt T_R:90.195 M_R:50.763 F_R:11.332
th: 0.36 QA_dirt T_R:87.892 M_R:50.914 F_R:13.936
th: 0.37 QA_dirt T_R:85.161 M_R:50.774 F_R:16.386
th: 0.38 QA_dirt T_R:82.716 M_R:51.810 F_R:20.904
th: 0.39 QA_dirt T_R:79.677 M_R:51.975 F_R:24.273
th: 0.40 QA_dirt T_R:76.021 M_R:51.372 F_R:26.723
th: 0.41 QA_dirt T_R:72.151 M_R:51.275 F_R:30.398
th: 0.42 QA_dirt T_R:67.901 M_R:51.026 F_R:34.150
th: 0.43 QA_dirt T_R:64.055 M_R:51.323 F_R:38.591
th: 0.44 QA_dirt T_R:59.592 M_R:51.503 F_R:43.415
th: 0.45 QA_dirt T_R:54.962 M_R:50.988 F_R:47.014
th: 0.46 QA_dirt T_R:49.739 M_R:50.597 F_R:51.455
